date;FXAUDCAD;FXCHFCAD;FXCNYCAD;FXEURCAD;FXGBPCAD;FXJPYCAD;FXMXNCAD;FXNZDCAD;FXSEKCAD;FXUSDCAD
2019-06-17;0.9196;1.3428;0.1936;1.5056;1.6847;0.01235;0.06990;0.8716;0.1415;1.3407
2019-06-18;0.9197;1.3395;0.1939;1.4994;1.6797;0.01235;0.07005;0.8735;0.1407;1.3394
2019-06-19;0.9170;1.3402;0.1933;1.4968;1.6848;0.01232;0.06967;0.8712;0.1402;1.3343
2019-06-20;0.9132;1.3430;0.1925;1.4897;1.6747;0.01227;0.06953;0.8689;0.1402;1.3191
2019-06-21;0.9143;1.3493;0.1923;1.4981;1.6780;0.01229;0.06922;0.8683;0.1409;1.3212
2019-06-24;0.9183;1.3557;0.1919;1.5029;1.6798;0.01229;0.06881;0.8727;0.1419;1.3194
2019-06-25;0.9178;1.3521;0.1915;1.4993;1.6746;0.01230;0.06852;0.8758;0.1422;1.3174
2019-06-26;0.9172;1.3436;0.1909;1.4931;1.6659;0.01219;0.06855;0.8776;0.1417;1.3130
2019-06-27;0.9178;1.3419;0.1907;1.4904;1.6629;0.01216;0.06847;0.8781;0.1413;1.3111
2019-06-28;0.9177;1.3410;0.1906;1.4887;1.6624;0.01214;0.06821;0.8786;0.1410;1.3087
2019-07-02;0.9170;1.3291;0.1908;1.4816;1.6539;0.01214;0.06876;0.8750;0.1406;1.3114
2019-07-03;0.9192;1.3257;0.1900;1.4751;1.6440;0.01213;0.06867;0.8765;0.1404;1.3073
2019-07-04;0.9169;1.3253;0.1900;1.4733;1.6427;0.01211;0.06874;0.8732;0.1400;1.3059
2019-07-05;0.9141;1.3206;0.1901;1.4702;1.6393;0.01207;0.06884;0.8675;0.1389;1.3099
2019-07-08;0.9124;1.3169;0.1901;1.4671;1.6369;0.01204;0.06916;0.8673;0.1383;1.3081
2019-07-09;0.9095;1.3216;0.1906;1.4712;1.6360;0.01206;0.06903;0.8674;0.1385;1.3127
2019-07-10;0.9108;1.3225;0.1904;1.4728;1.6370;0.01206;0.06811;0.8697;0.1390;1.3092
2019-07-11;0.9121;1.3220;0.1903;1.4717;1.6386;0.01206;0.06839;0.8717;0.1393;1.3071
2019-07-12;0.9135;1.3237;0.1895;1.4679;1.6371;0.01207;0.06854;0.8712;0.1390;1.3038
2019-07-15;0.9171;1.3247;0.1896;1.4683;1.6328;0.01208;0.06872;0.8761;0.1393;1.3039
2019-07-16;0.9166;1.3208;0.1898;1.4636;1.6204;0.01206;0.06845;0.8754;0.1390;1.3052
2019-07-17;0.9152;1.3213;0.1899;1.4649;1.6225;0.01207;0.06855;0.8788;0.1394;1.3053
2019-07-18;0.9207;1.3256;0.1900;1.4679;1.6329;0.01213;0.06876;0.8828;0.1398;1.3069
2019-07-19;0.9216;1.3308;0.1900;1.4670;1.6349;0.01213;0.06875;0.8850;0.1394;1.3071
2019-07-22;0.9229;1.3353;0.1904;1.4697;1.6353;0.01215;0.06875;0.8877;0.1393;1.3103
